Objective Value: 7779.0232121242925, Error: 0.16872343932155837
Objective Value: 8476.839798065464, Error: 0.27356367158435463
Objective Value: 8369.063260406905, Error: 0.2573712831140182
Objective Value: 7656.389813618202, Error: 0.15029895036331167
Objective Value: 8552.311556201905, Error: 0.2849025775543727
Objective Value: 8757.878222314748, Error: 0.31578699253526865
Objective Value: 8523.683065546786, Error: 0.2806014221073897
Objective Value: 6935.4390138005765, Error: 0.041983024909942386
Objective Value: 9656.235888707472, Error: 0.4507565938562908
Objective Value: 8705.016924003501, Error: 0.3078450907457183
Objective Value: 8189.305100383442, Error: 0.2303643480143392
