Objective Value: 183076.47830905527, Error: 0.6926606043792497
Objective Value: 201727.43174353728, Error: 0.8651007474508573
Objective Value: 186166.30672014217, Error: 0.7212280690478108
Objective Value: 199767.95966750965, Error: 0.8469841591315531
Objective Value: 175146.8695358423, Error: 0.6193462359659603
Objective Value: 190894.40999252387, Error: 0.7649424457744974
Objective Value: 190956.6057493901, Error: 0.765517485825406
Objective Value: 179478.31828665017, Error: 0.6593932847627121
Objective Value: 196789.76197768055, Error: 0.8194487927743466
Objective Value: 184223.34076431385, Error: 0.7032640904993006
Objective Value: 198524.1164570622, Error: 0.8354840231239397
