Objective Value: 47333.139465968365, Error: 0.126201895499973
Objective Value: 46861.79620143069, Error: 0.11498718031432321
Objective Value: 45618.89475604447, Error: 0.08541470784564163
Objective Value: 45972.56666583701, Error: 0.09382965728037808
Objective Value: 46579.79601920783, Error: 0.10827752311993699
Objective Value: 45782.09423806967, Error: 0.08929772866519957
Objective Value: 45654.99749664652, Error: 0.08627370379134701
Objective Value: 46632.45166704666, Error: 0.10953036396408818
Objective Value: 47757.86504882084, Error: 0.13630743174524346
Objective Value: 47736.54970339148, Error: 0.1358002737012891
Objective Value: 45482.751487068694, Error: 0.08217543808010407
