Iteration,Fitness,Error
0,21325.4104126914,2.203937862483684
0,21557.03307628841,2.2387369405481388
0,21611.184567691056,2.2468726814439686
0,21664.720214984096,2.2549158976839085
0,22178.32536220579,2.332080132542937
0,22229.21707273067,2.33972612270593
0,22320.146968354275,2.353387465197457
0,22445.81990137422,2.372268614990117
0,22474.7745474379,2.3766187721511267
0,22482.595397941157,2.3777937797387554
0,22664.282722759115,2.405090553299146
0,22758.16559344869,2.4191955519003443
0,22777.44107422102,2.4220915075452254
0,22868.157507341653,2.435720779348205
0,23150.7830348766,2.4781825473071817
0,23188.76239145812,2.483888580447434
0,23272.767636718163,2.4965095608050123
0,23290.319669693767,2.499146584990049
0,23323.46785705752,2.5041267814088823
0,23350.27141602969,2.508153758417922
0,23365.33506228208,2.5104169264245915
0,23376.61778965485,2.512112047724587
0,23426.433066292488,2.519596314046347
0,23428.88270542854,2.5199643487723167
0,23554.534486876113,2.5388423207446085
0,23596.760089927662,2.5451863115876896
0,23598.54759882428,2.545454867611821
0,23620.860442129284,2.5488071577718276
0,23662.36863695438,2.55504336492704
0,23693.84966894578,2.5597730872815174
0,23706.843530562535,2.5617252900484577
0,23730.00463164735,2.565205022783556
0,23787.808335463793,2.5738894734771325
0,23790.95281776359,2.5743619017072703
0,23800.307693056602,2.5757673817693214
0,23810.74051383026,2.577334812774979
0,23818.431810983555,2.5784903562174812
0,23859.888444514592,2.584718816784043
0,23875.081020808015,2.5870013552896656
0,23909.19769746803,2.592127057912865
0,23932.872035722805,2.5956838995977773
0,23963.715214712316,2.6003177906719226
0,23998.648950384155,2.605566248555312
0,24067.649448984856,2.6159329100037345
0,24154.532233943803,2.628986213032422
0,24157.912942109444,2.6294941319275007
0,24217.7279879688,2.638480767423197
0,24243.9597579607,2.6424218386359226
0,24315.799631553877,2.653215088875282
0,24325.18055082433,2.654624481794521
0,24338.3399116792,2.6566015492306487
0,24346.111976801687,2.6577692272839073
0,24352.347890479734,2.6587061133533254
0,24379.538590837317,2.6627912546330106
0,24397.26732656034,2.665454826706782
0,24422.867160816295,2.6693009556514866
0,24514.499345204476,2.683067810277115
0,24520.64009003781,2.6839903981427
0,24533.783203920455,2.685965024627472
0,24538.488344127767,2.686671926701888
0,24540.542122995612,2.686980487228908
0,24544.04983427787,2.6875074871210742
0,24544.27322890592,2.6875410500159136
0,24579.63256138377,2.692853449727129
0,24621.17465818721,2.6990947503286074
0,24634.68760240638,2.701124940265381
0,24649.91710793876,2.7034130270340686
0,24651.57440240354,2.7036620195918784
0,24671.5665170694,2.706665642588552
0,24710.647520444014,2.712537187566709
0,24717.01270987587,2.7134934960751007
0,24720.526513702647,2.7140214113134986
0,24732.43662538101,2.7158107910728684
0,24740.124850424065,2.7169658729603463
0,24744.062427869907,2.7175574561102627
0,24782.377691928785,2.7233139561191084
0,24825.165086945482,2.7297423508031073
0,24831.659981973073,2.730718146330089
0,24832.638654122675,2.7308651824102577
0,24843.531342960425,2.732501704170737
0,24849.11862874226,2.733341140135556
0,24876.05744146943,2.737388437720768
0,24900.052310875068,2.7409934361290667
0,24901.91384355212,2.741273113514441
0,24904.491436205746,2.7416603720261037
0,24921.972174438222,2.7442866848615117
0,24922.068574013658,2.744301167970802
0,24933.968291248537,2.7460889860649846
0,24937.81251947116,2.746666544391701
0,24967.057496904858,2.751060321049408
0,25012.356054263706,2.7578659937295233
0,25041.760122355325,2.762283672228865
0,25048.45238071141,2.7632891196982285
0,25056.268528755983,2.7644634207866563
0,25066.053921940267,2.7659335820222757
0,25072.630036724746,2.7669215800367706
0,25077.63501968449,2.7676735306016362
0,25085.31418266899,2.7688272510019516
0,25092.857728747626,2.7699605962661695
0,25095.282802029247,2.770324940208721
0,25104.05034734735,2.771642179589446
0,25121.051782938986,2.774196481811747
0,25130.618906702926,2.775633850165704
0,25154.944177128673,2.7792884881503417
0,25181.481703455636,2.7832754963124455
0,25190.95361275118,2.78469855960805
0,25200.38711834564,2.786115853116833
