Objective Value: 166954.98335528577, Error: 0.5436069430679442
Objective Value: 159783.6795247268, Error: 0.47730359493640645
Objective Value: 153898.77712298464, Error: 0.42289386110249394
Objective Value: 129253.3753237368, Error: 0.19503116082560668
Objective Value: 147778.7724660955, Error: 0.36631045466485
Objective Value: 172441.014370909, Error: 0.5943288526235356
Objective Value: 187741.2312164265, Error: 0.7357892659549968
Objective Value: 149548.80552859986, Error: 0.38267555662126923
Objective Value: 140952.17868733127, Error: 0.3031941742003094
Objective Value: 171933.47823181504, Error: 0.5896363523314291
Objective Value: 169103.15451143146, Error: 0.5634681765866129
Objective Value: 128408.56577720748, Error: 0.18722034945966104
Objective Value: 175891.72959318617, Error: 0.6262329495759592
Objective Value: 168989.25589849107, Error: 0.5624151101479403
Objective Value: 132892.54952890682, Error: 0.22867768312305792
Objective Value: 162903.55507349173, Error: 0.5061488648516697
Objective Value: 194181.32605273472, Error: 0.7953321133954152
Objective Value: 134004.6530248327, Error: 0.23895980015378
Objective Value: 148883.14549010442, Error: 0.3765210984763581
Objective Value: 167053.3963087107, Error: 0.544516834555707
Objective Value: 145884.4553408476, Error: 0.34879626606059233
Objective Value: 160637.38171161333, Error: 0.4851966245214298
Objective Value: 145502.66561917527, Error: 0.3452663728323604
Objective Value: 128914.93400780113, Error: 0.19190205168133145
Objective Value: 137287.3895069853, Error: 0.2693108248688069
Objective Value: 137320.37654070253, Error: 0.26961581135830154
Objective Value: 130883.90428312375, Error: 0.2101064570042599
Objective Value: 162774.85613863092, Error: 0.5049589598519857
Objective Value: 152702.49948547807, Error: 0.4118334996207257
Objective Value: 157146.8554349996, Error: 0.45292444858957276
Objective Value: 165836.90699704207, Error: 0.533269603057
Objective Value: 156252.4907077303, Error: 0.44465546748518653
Objective Value: 122744.41254594421, Error: 0.13485158466650224
Objective Value: 146852.20910512347, Error: 0.35774377633968024
Objective Value: 153812.282851608, Error: 0.42209416554894186
Objective Value: 171732.89856147856, Error: 0.5877818633814899
Objective Value: 145758.07452637216, Error: 0.3476277935851123
Objective Value: 162511.44753281015, Error: 0.5025235767047601
Objective Value: 168666.43717453867, Error: 0.5594304419839188
Objective Value: 150445.71554735265, Error: 0.39096807059378
Objective Value: 143553.07671519514, Error: 0.3272411608390901
Objective Value: 160054.80295258286, Error: 0.47981030660955504
Objective Value: 165953.02031848754, Error: 0.5343431459100726
Objective Value: 150523.8265476921, Error: 0.3916902573774914
Objective Value: 143807.18867682802, Error: 0.32959059049018596
Objective Value: 164020.91836873072, Error: 0.5164796121333474
Objective Value: 188245.94707025107, Error: 0.7404556908833391
Objective Value: 133566.92338065946, Error: 0.23491270611469647
Objective Value: 158641.85096470316, Error: 0.46674665043781066
Objective Value: 150621.03498279557, Error: 0.3925890123133125
Objective Value: 150233.73478363623, Error: 0.3890081711520653
Objective Value: 168957.9128775912, Error: 0.5621253236216238
Objective Value: 146406.26681135313, Error: 0.353620751036466
Objective Value: 171469.75960678866, Error: 0.5853489733335984
Objective Value: 138416.5542446746, Error: 0.2797506841286864
Objective Value: 155736.57329012908, Error: 0.43988547684546897
Objective Value: 130633.90605616647, Error: 0.20779506149434135
Objective Value: 134979.55790065633, Error: 0.24797342709026834
Objective Value: 135123.5057354188, Error: 0.24930431804490416
Objective Value: 162210.01122108, Error: 0.499736602789227
Objective Value: 157439.1472976709, Error: 0.45562687615150743
Objective Value: 165423.2999906145, Error: 0.5294455384259701
Objective Value: 140493.47739176147, Error: 0.2989531836625844
Objective Value: 145806.08139676566, Error: 0.3480716481916961
Objective Value: 145118.11591572032, Error: 0.34171096178515264
Objective Value: 157903.06968161004, Error: 0.4599161390324433
Objective Value: 147241.02388425128, Error: 0.36133862077359513
Objective Value: 166569.32024286652, Error: 0.5400412378338051
Objective Value: 136089.97919963024, Error: 0.25823999112075957
Objective Value: 152340.26379766734, Error: 0.4084843960989593
Objective Value: 124902.90807709414, Error: 0.15480827371826789
Objective Value: 141496.50899494745, Error: 0.3082268604087265
Objective Value: 159045.8625718841, Error: 0.4704819993887156
