Objective Value: 10615.743221109535, Error: 0.5949133445176584
Objective Value: 11298.355048138079, Error: 0.6974692079534374
Objective Value: 10711.810752959753, Error: 0.609346567451886
Objective Value: 9561.311818940952, Error: 0.4364951651053114
Objective Value: 9369.683126278702, Error: 0.4077047966163915
Objective Value: 10890.175804666509, Error: 0.6361442014222519
Objective Value: 9647.241218153828, Error: 0.44940523109282265
Objective Value: 10432.148581222124, Error: 0.5673300152076508
Objective Value: 11857.504750523103, Error: 0.7814760742973412
Objective Value: 9495.763165930273, Error: 0.4266471102659665
Objective Value: 10586.996856058939, Error: 0.5905944795761626
