Objective Value: 51441.708433313084, Error: 4.500610397060852
Objective Value: 44601.271541852955, Error: 3.7691693265454402
Objective Value: 51699.03650161982, Error: 4.528126229856696
Objective Value: 50442.38405658799, Error: 4.393753641636867
Objective Value: 50317.4979168291, Error: 4.3803996917054215
Objective Value: 47499.62932030018, Error: 4.079087822957675
Objective Value: 49025.545160216614, Error: 4.242252476498782
Objective Value: 49502.51685663509, Error: 4.293254582617097
Objective Value: 52566.234832901624, Error: 4.620854879480499
Objective Value: 52185.02046263626, Error: 4.580092008408497
Objective Value: 44739.161048708214, Error: 3.783913713506011
