Objective Value: 10532.274978322452, Error: 0.12620562214739647
Objective Value: 10265.23228824733, Error: 0.09765101456879073
Objective Value: 10129.659822742073, Error: 0.08315438652075201
Objective Value: 10324.1474438237, Error: 0.1039507531890184
Objective Value: 10150.534345972781, Error: 0.08538647839743167
Objective Value: 10228.563094283312, Error: 0.09373001435878017
Objective Value: 10032.551540750399, Error: 0.07277069511873385
Objective Value: 10066.600395550271, Error: 0.0764115050845029
Objective Value: 10235.122504180574, Error: 0.09443140549407332
Objective Value: 10157.339053185531, Error: 0.08611409892916287
Objective Value: 10033.875065894223, Error: 0.07291221833770559
