Objective Value: 136442.3508993058, Error: 0.26149789568418536
Objective Value: 126804.02441579518, Error: 0.1723853254541479
Objective Value: 132662.92422814798, Error: 0.22655464850958296
Objective Value: 122000.49500672358, Error: 0.12797358524693808
Objective Value: 164714.9980644503, Error: 0.5228968284141894
Objective Value: 256057.96832396698, Error: 1.367421743211078
Objective Value: 124423.65780643265, Error: 0.15037729459806992
Objective Value: 120921.45159342843, Error: 0.11799713009022299
Objective Value: 127076.67159889966, Error: 0.17490612523136917
Objective Value: 139147.83963348484, Error: 0.286511891136982
Objective Value: 151309.05906031586, Error: 0.3989502404822147
