Objective Value: 152406.87112397363, Error: 0.40910022396632395
Objective Value: 162008.50171971886, Error: 0.49787351694929555
Objective Value: 142337.77487404784, Error: 0.3160049082743724
Objective Value: 171907.10073577604, Error: 0.5893924752981817
Objective Value: 175039.60434767086, Error: 0.618354499835158
Objective Value: 152364.36292696404, Error: 0.40870720815617784
Objective Value: 133176.22757149345, Error: 0.23130047033990192
Objective Value: 162622.05319262794, Error: 0.5035461976592603
Objective Value: 135860.1323514972, Error: 0.25611490815833343
Objective Value: 148358.73000417286, Error: 0.3716725376914807
Objective Value: 157601.76490744634, Error: 0.45713038126689726
