Objective Value: 282361.201623066, Error: 1.610612169334646
Objective Value: 232476.83380904366, Error: 1.149398883209383
Objective Value: 263135.51661702147, Error: 1.4328582606812328
Objective Value: 235428.95909139706, Error: 1.1766931932746887
Objective Value: 192254.65879214028, Error: 0.7775188268395629
Objective Value: 223670.63643191138, Error: 1.067979885464098
Objective Value: 214760.28239757998, Error: 0.9855978919699699
Objective Value: 220032.93527853148, Error: 1.0343469824844116
Objective Value: 214049.55626567214, Error: 0.979026768606146
Objective Value: 229890.55950974845, Error: 1.1254871024117128
Objective Value: 230474.58268279, Error: 1.130886774866539
