Objective Value: 15543.584844456933, Error: 0.6620599705364556
Objective Value: 15880.970465459202, Error: 0.6981362773159968
Objective Value: 16692.53743764994, Error: 0.7849163213911396
Objective Value: 17577.05583902605, Error: 0.8794969887752404
Objective Value: 18041.109661119717, Error: 0.9291177995209279
Objective Value: 14532.058956887708, Error: 0.5538985197698575
Objective Value: 15677.119361117857, Error: 0.6763386827542619
Objective Value: 16760.980540346933, Error: 0.7922348738608782
Objective Value: 19288.021181708795, Error: 1.0624488004393493
Objective Value: 19262.047536293103, Error: 1.0596714645309135
Objective Value: 16262.572610376907, Error: 0.7389406127434673
