Iteration,ID,Fitness,Error
0,0,25039.978553845067,2.762016008690665
0,1,26609.14460126221,2.99776811918002
0,2,26513.65345327823,2.983421492379542
0,3,23946.596264937263,2.5977458330735073
0,4,26238.78264636719,2.9421247966296864
0,5,26510.18530517685,2.9829004364748872
0,6,29095.100193753817,3.3712590435327248
0,7,24967.448056809084,2.751118998919634
0,8,27157.71052488595,3.080184874532144
0,9,29642.389234511695,3.4534839595119733
0,10,28181.530453971056,3.234003974454786
0,11,27420.53604770325,3.1196718821669545
0,12,28842.447172373628,3.333300356426326
0,13,26646.915448348023,3.003442825773441
0,14,28734.845329362142,3.3171342141469564
0,15,29366.02419477475,3.4119627696476487
0,16,26119.876956575754,2.924260360062463
0,17,28807.68757712719,3.328078061467427
0,18,28823.556862720074,3.3304622690384726
0,19,28421.219168383002,3.270014899096004
0,20,28628.780963161138,3.3011990629749306
0,21,28316.817793907747,3.2543295964404666
0,22,24620.13541402848,2.69893861388649
0,23,26469.18972107669,2.976741244152147
0,24,28874.90613369076,3.3381770032588283
0,25,29522.4831835502,3.4354692282978068
0,26,28299.259269880986,3.2516915970374076
0,27,27360.000260525743,3.1105769622184107
0,28,26204.95988213308,2.9370432515223976
0,29,25449.350504949165,2.823520208075295
0,30,27274.593369199305,3.0977453980167224
0,31,29320.840839054363,3.405174404906004
0,32,32494.43205546361,3.881975969871336
0,33,26624.74829787096,3.0001124245599398
0,34,28034.93715069505,3.211979740188559
0,35,27046.73767303648,3.0635122705884137
0,36,30247.67814962945,3.5444227989226937
0,37,27293.272724636234,3.100551791561934
0,38,27257.749665623553,3.0952147935131538
0,39,27240.601244238365,3.0926384080886966
0,40,29758.318266965627,3.4709011819359414
0,41,23708.902561742318,2.5620346396848435
0,42,25709.13425117629,2.8625502180252838
0,43,28282.009203674697,3.249099940455934
0,44,26461.405919197485,2.975571802764045
0,45,31431.452990405884,3.722273586298961
0,46,25685.01756834134,2.8589269183205137
0,47,26022.019281137338,2.909558185267028
0,48,30383.430109782286,3.5648182256283483
0,49,26967.349899771307,3.051585020999295
0,50,25199.418320135286,2.7859703005010945
0,51,27815.717591221895,3.1790441092580974
0,52,28078.065683981178,3.2184593876173646
0,53,25376.256422721166,2.812538525048252
0,54,30223.44368996644,3.540781804381977
0,55,28841.390263391633,3.333141566014368
0,56,30576.9112123203,3.5938869008894683
0,57,28740.568603183816,3.3179940810071837
0,58,31456.63518351229,3.7260569686767266
0,59,26387.585226981635,2.964480953572962
0,60,26543.286609800103,2.987873589212756
0,61,30129.90321873761,3.5267282480074535
0,62,29565.48194411727,3.4419293786233878
0,63,27847.07814953596,3.1837557316009555
0,64,28989.57142646772,3.355404360947674
0,65,28384.609020554737,3.2645145764054595
0,66,27421.58038850217,3.119828784330254
0,67,24549.422652151196,2.688314701344831
0,68,26622.680016380436,2.9998016851533107
0,69,27085.239794381923,3.069296844107861
0,70,27664.67556328117,3.156351496887195
0,71,30998.497455415116,3.6572261802005883
0,72,25484.51720466817,2.828803666566732
0,73,27344.18981501713,3.1082015948042563
0,74,30428.189260472413,3.5715428576430908
0,75,29297.37420605114,3.4016487689379717
0,76,30055.065282378855,3.5154845676650925
0,77,27786.33878064985,3.174630225458211
0,78,26804.782397965457,3.027160817002022
0,79,25561.87412078837,2.840425799397291
0,80,29305.807305848804,3.402915761095073
0,81,30607.194451532836,3.598436666396159
0,82,30390.027125509834,3.565809363808569
0,83,29062.257758345655,3.3663247834052967
0,84,26966.759030345755,3.0514962485495425
0,85,27597.51714301345,3.146261589996011
0,86,22806.88856721649,2.4265157102188235
0,87,30117.51277004104,3.5248667022297235
0,88,27230.158002763466,3.0910694114728767
0,89,29366.681357141435,3.412061501974374
0,90,28988.921133401847,3.355306660667345
0,91,30807.346553653195,3.6285075952002996
0,92,28133.623477158457,3.2268064118327007
0,93,28050.31151217008,3.2142895901697837
0,94,27125.524575545587,3.0753492451240367
0,95,30447.543930371146,3.5744507106927803
0,96,29954.867156277644,3.500430762661906
0,97,30995.342120708523,3.6567521215006797
0,98,28357.88686365767,3.260499829275491
0,99,27942.530936533425,3.198096595032065
1,0,25039.978553845067,2.762016008690665
1,1,26609.14460126221,2.99776811918002
1,2,25161.826272343853,2.7803224567824296
1,3,23946.596264937263,2.5977458330735073
1,4,23980.701801115185,2.602869861946392
1,5,23145.55334063308,2.477396836032614
1,6,27067.305665829386,3.066602413736386
1,7,24436.417026159994,2.6713366926322104
1,8,24178.5149579203,2.632589386706776
1,9,25167.06253333335,2.7811091546474382
1,10,26172.00369941921,2.932091901956011
1,11,27031.47165474275,3.061218698128418
1,12,26102.105927735673,2.921590433854518
1,13,23662.139583925044,2.5550089519118155
1,14,22727.48614411938,2.41458625963332
1,15,26273.37921923022,2.947322599043002
1,16,24175.07250914309,2.632072191878469
1,17,25232.32267076235,2.7909138627948242
1,18,23681.498442946842,2.5579174343369653
1,19,23498.321566187253,2.5303968699199597
1,20,24663.283356276737,2.705421177325231
1,21,27344.59348781997,3.1082622427614135
1,22,24620.13541402848,2.69893861388649
1,23,24924.734097858913,2.7447016372985145
1,24,23862.302969264863,2.5850815759111874
1,25,24717.53495105476,2.713571957790679
1,26,24575.864319661767,2.6922873076414913
1,27,27360.000260525743,3.1105769622184107
1,28,26204.95988213308,2.9370432515223976
1,29,24593.04426810681,2.694868429703547
1,30,25080.364660789608,2.768083632931131
1,31,26336.870963327478,2.956861623096075
1,32,25865.216054647568,2.8860000082102717
1,33,26365.299683780748,2.961132764991098
1,34,26446.576224039665,2.9733437836598053
1,35,26611.043831032854,2.998053460191234
1,36,26135.516083511106,2.9266099885082792
1,37,27293.272724636234,3.100551791561934
1,38,27257.749665623553,3.0952147935131538
1,39,24307.914005109975,2.652030349325417
1,40,27676.985102606726,3.158200886809905
1,41,23708.902561742318,2.5620346396848435
1,42,25709.13425117629,2.8625502180252838
1,43,26033.089588200655,2.9112213924580312
1,44,26461.405919197485,2.975571802764045
1,45,29446.580538359958,3.4240655856910993
1,46,25685.01756834134,2.8589269183205137
1,47,26022.019281137338,2.909558185267028
1,48,25059.216062026193,2.764906259318839
1,49,24224.299298555867,2.639468043653225
1,50,25199.418320135286,2.7859703005010945
1,51,27356.169925379167,3.1100014911927834
1,52,25673.892389941422,2.8572554672387955
1,53,25376.256422721166,2.812538525048252
1,54,26357.67328080595,2.9599869712749323
1,55,27334.89637604724,3.1068053449590205
1,56,26466.329409151906,2.9763115097884474
1,57,26807.40961539169,3.0275555311586073
1,58,25456.981276651895,2.8246666581508255
1,59,24672.057744946138,2.7067394448536866
1,60,25876.42070693661,2.8876833994796587
1,61,25594.439655012422,2.8453184577843182
1,62,25890.439900234935,2.8897896484727967
1,63,25522.864148132718,2.8345649261016703
1,64,26394.48249606098,2.9655172019322387
1,65,26621.55196859572,2.9996322068202703
1,66,24009.443893856085,2.6071880850144358
1,67,24549.422652151196,2.688314701344831
1,68,26622.680016380436,2.9998016851533107
1,69,24999.144819263856,2.7558811327019015
1,70,25993.47756746446,2.9052700672272325
1,71,29359.95267931007,3.411050582829037
1,72,25484.51720466817,2.828803666566732
1,73,24986.36962727126,2.7539617829433984
1,74,26258.725823524575,2.9451210672362644
1,75,26303.93437734496,2.951913217750144
1,76,28589.21441459255,3.2952545695000826
1,77,24656.833313489893,2.70445212041615
1,78,26804.782397965457,3.027160817002022
1,79,25561.87412078837,2.840425799397291
1,80,29305.807305848804,3.402915761095073
1,81,28161.346691287123,3.2309715581861664
1,82,27203.922135357545,3.087127724663093
1,83,26878.172744099596,3.0381870108322713
1,84,23887.38855761339,2.5888504443529734
1,85,26669.832617231714,3.0068859100408223
1,86,22806.88856721649,2.4265157102188235
1,87,23285.945465187226,2.4984894028226
1,88,24832.94836614905,2.73091171366422
1,89,28663.082247081726,3.3063525010639614
1,90,27440.007402667714,3.1225972660257986
1,91,30506.681308670086,3.5833355331535586
1,92,26257.3880519127,2.944920079914769
1,93,28050.31151217008,3.2142895901697837
1,94,27125.524575545587,3.0753492451240367
1,95,23152.686253379976,2.478468487587136
1,96,29954.867156277644,3.500430762661906
1,97,30995.342120708523,3.6567521215006797
