Objective Value: 11544.39425081433, Error: 0.23443052296988132
Objective Value: 12123.836984051304, Error: 0.29638975449650384
Objective Value: 11043.075435757553, Error: 0.1808250038235194
Objective Value: 11330.328078458078, Error: 0.21154064140911874
Objective Value: 11419.535270519873, Error: 0.22107947717278367
Objective Value: 13285.665467844061, Error: 0.4206229114461143
Objective Value: 11361.62430883004, Error: 0.2148871159997904
Objective Value: 10666.621293154309, Error: 0.14057113913112795
Objective Value: 13599.858355776432, Error: 0.4542192424910642
Objective Value: 11523.948603331679, Error: 0.23224429034769878
Objective Value: 13462.0584828605, Error: 0.4394844399979149
