Objective Value: 79574.44970636044, Error: 7.508816264580885
Objective Value: 79167.1520275446, Error: 7.465264331431201
Objective Value: 80685.3877564119, Error: 7.6276077583845066
Objective Value: 81601.65087663115, Error: 7.725582856782629
Objective Value: 88895.29428565578, Error: 8.505484846627008
Objective Value: 82790.13655805112, Error: 7.852666441194517
Objective Value: 80165.6699723055, Error: 7.572034855892377
Objective Value: 84137.82959380848, Error: 7.996773908662155
Objective Value: 85181.34144192131, Error: 8.108355586176359
Objective Value: 87017.33672290598, Error: 8.3046767240062
Objective Value: 86236.7887434974, Error: 8.221213509783725
