Objective Value: 11726.014367014244, Error: 0.7617209085057458
Objective Value: 7919.239808022329, Error: 0.18978963461873938
Objective Value: 9969.880533192932, Error: 0.49787868587634204
Objective Value: 8703.495337184653, Error: 0.3076164869568289
Objective Value: 8097.378021383005, Error: 0.21655318830874476
Objective Value: 7597.858062376015, Error: 0.14150511754447345
Objective Value: 8412.256402795143, Error: 0.26386063743917415
Objective Value: 7347.418741980889, Error: 0.10387901772549409
Objective Value: 8411.112241846027, Error: 0.26368873825811706
Objective Value: 7925.950065417569, Error: 0.19079778627066843
Objective Value: 7719.816613701725, Error: 0.15982821720278323
Objective Value: 8077.5471260865215, Error: 0.21357378697213364
Objective Value: 12757.818627479568, Error: 0.9167395774458486
Objective Value: 12332.745883365975, Error: 0.8528764848807053
Objective Value: 7893.621111052169, Error: 0.1859406717325975
Objective Value: 8090.9974153745225, Error: 0.2155945636079511
Objective Value: 8205.578870801017, Error: 0.23280932554101816
Objective Value: 7026.718870199834, Error: 0.055696945643003884
Objective Value: 8845.828620365164, Error: 0.3290006941654393
Objective Value: 7676.176189594962, Error: 0.15327166310020465
Objective Value: 7944.310846806803, Error: 0.19355631712842594
Objective Value: 11114.656884350801, Error: 0.6698703251728968
Objective Value: 15021.060248092645, Error: 1.2567698690043037
Objective Value: 7856.956854476661, Error: 0.180432219723056
Objective Value: 8754.291493145784, Error: 0.3152481209654122
Objective Value: 7257.35448129803, Error: 0.09034772856040113
Objective Value: 7672.105829006112, Error: 0.15266013055981248
Objective Value: 9604.433444011484, Error: 0.44297377464114834
Objective Value: 7093.118304557795, Error: 0.06567282219918802
Objective Value: 7540.4816191213085, Error: 0.1328848586420235
Objective Value: 7860.419961560232, Error: 0.180952518263256
Objective Value: 6935.816134694474, Error: 0.042039683698088096
Objective Value: 7408.43553234439, Error: 0.11304620377770278
Objective Value: 8845.925697186527, Error: 0.32901527902441813
Objective Value: 7814.411955535691, Error: 0.17404025774274204
Objective Value: 7657.352970429295, Error: 0.15044365541305516
Objective Value: 8281.611954861175, Error: 0.24423256533371018
Objective Value: 10753.789962359353, Error: 0.6156535400179316
Objective Value: 7604.9105876334215, Error: 0.1425646916516559
Objective Value: 7801.0637599312795, Error: 0.17203481970121387
Objective Value: 7207.207432761666, Error: 0.0828136167009714
Objective Value: 7445.682987832895, Error: 0.11864227581624029
Objective Value: 6964.708219794226, Error: 0.04638044167581526
Objective Value: 7591.534246221745, Error: 0.1405550249732189
Objective Value: 8126.055765146979, Error: 0.22086174356174565
Objective Value: 7562.073702662717, Error: 0.1361288615779322
Objective Value: 10505.165954618013, Error: 0.5783001734702543
Objective Value: 10573.435320489521, Error: 0.5885569892562382
Objective Value: 10178.372983464407, Error: 0.5292026717945324
Objective Value: 9099.352683865132, Error: 0.36709024697492976
Objective Value: 7388.267448661425, Error: 0.11001614312821892
Objective Value: 7924.629415026739, Error: 0.1905993712480076
Objective Value: 9099.86977427947, Error: 0.3671679348376608
Objective Value: 9070.587542152187, Error: 0.3627685610204608
Objective Value: 12852.895731010429, Error: 0.9310239980484418
Objective Value: 7350.636107713815, Error: 0.10436239599065736
Objective Value: 7381.675866771796, Error: 0.10902582132989722
